Altium Designer Pick and Place Locations
D:\farmbot\PCB\Farmduino\1.5\Project Outputs for FMB-genesis 20a\Pick Place for FMB-genesis 20a.csv

========================================================================================================================
File Design Information:

Date:       30.09.20
Time:       18:39
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"RP7","100R,1%,1608","TopLayer","RP1608","3565.748","1888.465","90",""
"U6","TMC2130-LA(1)","TopLayer","QFN-36","3700.158","3261.575","360","IC STEPPER MOTOR DVR SPI 36QFN"
"U5","TMC2130-LA(1)","TopLayer","QFN-36","2900.118","3261.575","360","IC STEPPER MOTOR DVR SPI 36QFN"
"U4","TMC2130-LA(1)","TopLayer","QFN-36","2100.079","3261.575","360","IC STEPPER MOTOR DVR SPI 36QFN"
"U3","TMC2130-LA(1)","TopLayer","QFN-36","500.000","3261.575","360","IC STEPPER MOTOR DVR SPI 36QFN"
"U2","TMC2130-LA(1)","TopLayer","QFN-36","1300.039","3261.575","360","IC STEPPER MOTOR DVR SPI 36QFN"
"R73","0.22R,1%,1206","TopLayer","1206R","765.000","3170.000","270","Resistor"
"R72","0.22R,1%,1206","TopLayer","1206R","1565.000","3170.000","270","Resistor"
"R71","0.22R,1%,1206","TopLayer","1206R","3165.000","3170.000","270","Resistor"
"R70","10K,1%,0603","TopLayer","0603R","2350.000","1555.000","180","Resistor"
"R65","10K,1%,0603","TopLayer","0603R","3000.000","1015.000","360","Resistor"
"C114","100NF,50V,0603","TopLayer","0603C","845.003","3149.997","90","Capacitor"
"C113","100NF,50V,0603","TopLayer","0603C","1645.003","3149.997","90","Capacitor"
"C112","100NF,50V,0603","TopLayer","0603C","3245.003","3149.997","90","Capacitor"
"C111","1UF,16V,0603","TopLayer","0603C","754.997","2140.003","270","Capacitor"
"C110","100NF,50V,0603","TopLayer","0603C","150.000","3149.997","90","Capacitor"
"C109","100NF,50V,0603","TopLayer","0603C","950.003","3149.997","90","Capacitor"
"C108","1UF,16V,0603","TopLayer","0603C","1434.409","2175.000","180","Capacitor"
"C107","100NF,50V,0603","TopLayer","0603C","2550.003","3149.997","90","Capacitor"
"C106","1UF,16V,0603","TopLayer","0603C","494.997","3500.591","270","Capacitor"
"C105","1UF,16V,0603","TopLayer","0603C","1309.997","3500.591","270","Capacitor"
"C104","1UF,16V,0603","TopLayer","0603C","2904.997","3500.591","270","Capacitor"
"C103","100NF,50V,0603","TopLayer","0603C","565.000","3020.591","90","Capacitor"
"C102","100NF,50V,0603","TopLayer","0603C","434.997","3500.591","270","Capacitor"
"C101","100NF,50V,0603","TopLayer","0603C","1360.003","3020.591","90","Capacitor"
"C100","1UF,16V,0603","TopLayer","0603C","2355.003","2540.000","180","Capacitor"
"C99","100NF,50V,0603","TopLayer","0603C","2960.003","3020.591","90","Capacitor"
"C98","100NF,50V,0603","TopLayer","0603C","254.997","3334.997","360","Capacitor"
"C97","100NF,50V,0603","TopLayer","0603C","1249.997","3500.591","270","Capacitor"
"C96","100NF,50V,0603","TopLayer","0603C","2839.997","3500.591","270","Capacitor"
"C95","100NF,50V,0603","TopLayer","0603C","1054.997","3334.997","360","Capacitor"
"C94","100NF,50V,0603","TopLayer","0603C","2654.997","3334.997","360","Capacitor"
"C93","22NF,25V,0603","TopLayer","0603C","345.003","3475.003","180","Capacitor"
"C92","22NF,25V,0603","TopLayer","0603C","2750.003","3475.003","180","Capacitor"
"C91","100NF,50V,0603","TopLayer","0603C","255.591","3395.000","360","Capacitor"
"C90","22NF,25V,0603","TopLayer","0603C","1160.003","3475.003","180","Capacitor"
"C89","100NF,25V,0603","TopLayer","0603C","3390.000","1254.409","90","Capacitor"
"C88","100NF,50V,0603","TopLayer","0603C","2654.997","3394.997","360","Capacitor"
"C87","100NF,50V,0603","TopLayer","0603C","1054.997","3394.997","360","Capacitor"
"C86","100NF,50V,0603","TopLayer","0603C","4005.003","3149.997","90","Capacitor"
"C85","100NF,50V,0603","TopLayer","0603C","2445.003","3149.997","90","Capacitor"
"C84","100NF,50V,0603","TopLayer","0603C","3350.003","3149.997","90","Capacitor"
"C83","100NF,50V,0603","TopLayer","0603C","1750.003","3149.997","90","Capacitor"
"C82","1UF,16V,0603","TopLayer","0603C","3699.997","3500.591","270","Capacitor"
"C81","1UF,16V,0603","TopLayer","0603C","2104.997","3500.591","270","Capacitor"
"C80","100NF,50V,0603","TopLayer","0603C","3760.003","3020.591","90","Capacitor"
"C79","100NF,50V,0603","TopLayer","0603C","2165.003","3020.591","90","Capacitor"
"C78","100NF,50V,0603","TopLayer","0603C","3454.997","3334.997","360","Capacitor"
"C77","100NF,50V,0603","TopLayer","0603C","2045.000","3500.591","270","Capacitor"
"C47","100NF,50V,0603","TopLayer","0603C","1849.997","3334.997","360","Capacitor"
"C45","22NF,25V,0603","TopLayer","0603C","3555.003","3475.003","180","Capacitor"
"P2","5P---2.54","TopLayer","HDR1X5","1478.467","160.625","360","Header, 5-Pin"
"C21","100NF,50V,0805","TopLayer","0805C","4609.468","505.625","270","Capacitor"
"E3","100UF,50V","TopLayer","RB-.2X.4","4324.687","595.625","270","Polarized Capacitor (Surface Mount)"
"E2","100UF,50V","TopLayer","RB-.2X.4","3914.687","595.625","270","Polarized Capacitor (Surface Mount)"
"R69","33K,1%,0603","TopLayer","0603C","3864.997","874.997","360","Resistor"
"V6","B340A","TopLayer","SMA","3663.113","1095.625","360","Default Diode"
"D5","TPS543X","TopLayer","SO-8-1","3635.000","910.000","270",""
"X2","LED,green,0603","TopLayer","LED-0603","1222.441","3715.000","180","Typical INFRARED GaAs LED"
"X8","USB-A","TopLayer","USB-A180","120.396","680.000","90",""
"C37","100NF,25V,0603","TopLayer","0603C","3960.000","959.409","270","Capacitor"
"D2","P6SMBJ24CA","TopLayer","SMB","4904.412","405.618","180","Schottky Diode"
"RP4","1K,1%,1608","TopLayer","RP1608","1173.506","1982.160","270",""
"RP3","1K,1%,1608","TopLayer","RP1608","2066.535","1975.748","360",""
"RP2","1K,1%,1608","TopLayer","RP1608","2361.030","1682.160","270",""
"RP1","1K,1%,1608","TopLayer","RP1608","2596.535","1954.252","180",""
"L2","60R,100MHZ,0805","TopLayer","RC0805","1414.797","2058.877","270","Inductor"
"C73","1NF,25V,0603","TopLayer","RC0603","4139.688","1573.184","90","Capacitor"
"C72","1NF,25V,0603","TopLayer","RC0603","4139.688","2044.434","90","Capacitor"
"C71","1NF,25V,0603","TopLayer","RC0603","4139.688","2535.059","90","Capacitor"
"C70","1NF,25V,0603","TopLayer","RC0603","4169.688","3056.934","90","Capacitor"
"C69","1NF,25V,0603","TopLayer","RC0603","4139.688","3573.184","90","Capacitor"
"P19","6X2P---2.54","TopLayer","HDR2X6","2735.000","110.000","180","Header, 6-Pin, Dual row"
"C1","22PF,50V,0603","TopLayer","RC0603","3087.247","765.625","0","Capacitor"
"C2","100NF,25V,0603","TopLayer","RC0603","2149.688","563.066","270","Capacitor"
"C3","100NF,25V,0603","TopLayer","RC0603","1649.688","1108.066","270","Capacitor"
"C4","22PF,50V,0603","TopLayer","RC0603","3189.688","843.184","90","Capacitor"
"C5","100NF,25V,0603","TopLayer","RC0603","2237.128","530.625","180","Capacitor"
"C6","100NF,25V,0603","TopLayer","RC0603","2237.128","590.625","180","Capacitor"
"C7","22PF,25V,0603","TopLayer","RC0603","3087.247","648.958","360","Capacitor"
"C13","100NF,25V,0603","TopLayer","0603C","4020.000","959.409","270","Capacitor"
"C14","100NF,50V,0603","TopLayer","0603C","1849.997","3394.997","360","Capacitor"
"C15","4.7NF,50V,0603","TopLayer","0603C","3895.003","959.997","90","Capacitor"
"C16","1NF,25V,0603","TopLayer","RC0603","3269.688","1254.670","90","Capacitor"
"C17","100NF,25V,0603","TopLayer","RC0603","3328.828","1254.670","90","Capacitor"
"C18","100NF,50V,0603","TopLayer","0603C","3454.997","3394.997","360","Capacitor"
"C19","100NF,50V,0805","TopLayer","0805C","4565.000","865.000","360","Capacitor"
"C20","100NF,50V,0805","TopLayer","0805C","4609.688","710.625","90","Capacitor"
"C22","22PF,25V,0603","TopLayer","0603C","694.688","1140.152","90","Capacitor"
"C23","22PF,50V,0603","TopLayer","RC0603","544.688","688.066","270","Capacitor"
"C24","22PF,50V,0603","TopLayer","RC0603","517.129","600.625","180","Capacitor"
"C25","100NF,25V,0603","TopLayer","RC0603","1028.778","678.184","90","Capacitor"
"C26","100NF,25V,0603","TopLayer","RC0603","1464.688","768.184","90","Capacitor"
"C27","100NF,25V,0603","TopLayer","RC0603","1489.097","1040.625","180","Capacitor"
"C28","1NF,1206,2000V","TopLayer","RC1206","94.688","1885.507","270","Capacitor"
"C29","100NF,25V,0603","TopLayer","RC0603","607.246","1050.625","360","Capacitor"
"C30","100NF,25V,0603","TopLayer","RC0603","607.246","990.625","360","Capacitor"
"C31","100NF,25V,0603","TopLayer","RC0603","542.246","810.625","360","Capacitor"
"C32","100NF,25V,0603","TopLayer","RC0603","3817.559","1880.000","360","Capacitor"
"C33","100NF,25V,0603","TopLayer","0603C","610.000","1574.409","90","Capacitor"
"C34","22NF,25V,0603","TopLayer","0603C","1955.591","3475.003","180","Capacitor"
"C35","1NF,50V,0603","TopLayer","0603C","2650.003","2125.003","180","Capacitor"
"C36","1NF,50V,0603","TopLayer","0603C","2765.003","2125.003","180","Capacitor"
"C39","1NF,50V,0603","TopLayer","0603C","2190.003","1684.997","90","Capacitor"
"C40","1NF,50V,0603","TopLayer","0603C","2255.003","1684.997","90","Capacitor"
"C41","1NF,50V,0603","TopLayer","0603C","2465.003","1684.997","90","Capacitor"
"C42","1NF,50V,0603","TopLayer","0603C","2530.003","1684.997","90","Capacitor"
"C43","103,0603","TopLayer","RC0603","3499.688","1093.066","270","0.01UF low-ESR ceramic capacitor, X7R or X5R"
"C44","1NF,50V,0603","TopLayer","0603C","1904.104","2086.134","180","Capacitor"
"C49","1NF,25V,0603","TopLayer","0603C","1355.003","1878.002","90","Capacitor"
"C50","1NF,50V,0603","TopLayer","0603C","1223.108","2140.858","180","Capacitor"
"C51","1NF,50V,0603","TopLayer","0603C","1105.278","2140.625","180","Capacitor"
"C52","1NF,50V,0603","TopLayer","0603C","1060.278","1345.625","360","Capacitor"
"C54","1NF,50V,0603","TopLayer","0603C","1150.000","1319.409","90","Capacitor"
"C56","1NF,50V,0603","TopLayer","0603C","1070.591","1555.000","360","Capacitor"
"C57","1NF,50V,0603","TopLayer","0603C","1120.591","1615.000","360","Capacitor"
"C58","1UF,16V,0603","TopLayer","0603C","3040.003","2540.000","180","Capacitor"
"C59","1NF,50V,0603","TopLayer","0603C","401.342","2050.000","360","Capacitor"
"C60","1NF,50V,0603","TopLayer","0603C","516.342","2050.000","360","Capacitor"
"C63","100NF,25V,0603","TopLayer","RC0603","3087.247","707.292","360","Capacitor"
"C64","100NF,25V,0603","TopLayer","RC0603","2625.513","1575.513","45","Capacitor"
"C65","100NF,25V,0603","TopLayer","RC0603","1965.000","1157.441","270","Capacitor"
"C66","100NF,25V,0603","TopLayer","RC0603","2432.247","575.625","360","Capacitor"
"C67","1NF,50V,0603","TopLayer","0603C","2019.104","2086.134","180","Capacitor"
"C68","100NF,25V,0603","TopLayer","0603C","2130.003","1809.997","90","Capacitor"
"D1","1N4148","TopLayer","SOD-323","3295.276","715.000","180","Default Diode"
"D4","1N4148","TopLayer","SOD-323","594.963","1175.625","180","Default Diode"
"F1","0287015.","TopLayer","GF-C40","4670.278","1091.885","360","Fuse"
"F2","miniASMDC050F-2","TopLayer","RC1812","394.688","941.530","270","Thermal Fuse"
"G1","16M","TopLayer","Y-3225","3081.302","856.885","0","Crystal"
"G2","16M,3225","TopLayer","Y-3225","637.168","669.286","270",""
"GRE1","LED,redness,0603","TopLayer","LED-0603","3122.559","435.000","360","Typical INFRARED GaAs LED"
"RX","LED,redness,0603","TopLayer","LED-0603","1207.129","805.625","180","Typical INFRARED GaAs LED"
"M1","IRFR3709ZTRPBF","TopLayer","DPAK","4401.301","3609.838","270",""
"M2","IRFR3709ZTRPBF","TopLayer","DPAK","4401.301","3100.035","270",""
"M3","IRFR3709ZTRPBF","TopLayer","DPAK","4401.301","2590.231","270",""
"M4","IRFR3709ZTRPBF","TopLayer","DPAK","4401.301","2080.428","270",""
"M5","IRFR3709ZTRPBF","TopLayer","DPAK","4401.301","1570.625","270",""
"P1","4X2P---2.54","TopLayer","HDR2X4","3750.000","110.000","180","Header, 4-Pin, Dual row"
"P3","4P---2.54","TopLayer","HDR1X4","4505.000","60.000","180","Header, 4-Pin"
"P4","6X2P---2.54","TopLayer","HDR2X6","2048.152","110.625","360","Header, 6-Pin, Dual row"
"P5","6X2P---2.54","TopLayer","HDR2X6","2048.152","210.625","360","Header, 6-Pin, Dual row"
"P6","4X2P---2.54","TopLayer","HDR2X4","3256.577","210.625","180","Header, 4-Pin, Dual row"
"P7","4X2P---2.54","TopLayer","HDR2X4","3256.577","110.625","180","Header, 4-Pin, Dual row"
"P8","Header 7","TopLayer","DIP-1*7-2.54","2809.688","2330.625","360","Header, 7-Pin"
